name,num,star,sug1,sug2,sug3
亦锅亦笼塔吉锅料理,91628215,准五星商户,番茄芝士雪花鱼塔吉锅,薄荷绿茶,椰香咖喱鸡塔吉锅
海味观,69311960,五星商户,黑松露烤鸡,茅台百草醉蟹,油煎松露馄饨
老兴鲜酒家,126108564,五星商户,老兴鲜全家福,初一锅巴,秘制熏东海小白鲳
桂满陇-锦绣江南(万象城店),95043216,准五星商户,吮指鸡爪,公主素蟹粉,石锅沃豆腐
御璟轩(金桥店),2435650,五星商户,清炒深海大虾仁,现拆蟹粉丝油条,招牌御璟轩红烧肉
圆苑·精品(徐家汇店),887301531,准五星商户,圆苑红烧肉拼酱蛋,冰沙红酒鹅肝,脆皮小乳鸭
绍东家·三味书屋(上滨店),131599492,准五星商户,绍氏酥鱼,花雕竹林鸡,东家青花椒鱼
韵秋荷(江桥万达店),123858189,准五星商户,秋荷烤鸭,桃之韵,姑苏米酒
月湖萃(东湖路店),96636091,准五星商户,桂花熏鲳鱼,桂花南瓜酒酿圆子,美国提子红烧肉
桂满陇·北纬三十度(世纪汇店),120058097,准五星商户,吮指鸡爪,石锅杭椒牛蛙,乾隆鱼头
樽宴,66837305,五星商户,长江特鲜,银雪鱼狮子头汤,自制酸奶
馨源楼,10346969,五星商户,石锅京葱银鳕鱼,瑞金核桃酥,浓汤黄鱼面
桂满陇·桃花院落(长泰广场店),67395674,准五星商户,吮指鸡爪,黄金蛋黄土豆丝,红糖麻糍
上海人家精作坊(高桥店),1920481,五星商户,红烧崇明羊肉煲,我家黄鱼春卷,黑椒牛仔骨
文餐厅 Y'S KITCHEN,122423347,准五星商户,鹅肝松露煲仔饭,茶醉蟹,凤城煎河鳗
尚海米道,132618185,四星商户,酥不腻果木烤鸭,鸡汁鲜虾野菜石榴包,荷香梅菜蛋黄狮子头
桂满陇-十里风荷(合生汇店),63058818,准五星商户,吮指鸡爪,东坡肉,石锅沃豆腐
G CLUB老鬼私房小厨,111750539,五星商户,特色脆皮熏黄鱼,荷香梅菜狮子头,果木烤鸭
南京大牌档(人民广场店),15123172,准五星商户,民国美龄粥,天王烤鸭包,古法糖芋苗
聪菜馆,25008703,准五星商户,虾酱茭白丝,荠菜馄饨,响油鳝丝
老丰阁品珍轩(古象店),2505034,五星商户,黑椒牛仔粒,元宝虾,会跳舞的茄子
爱玲EILEEN(环球金融中心店),21678721,五星商户,红酒鹅肝果,红烧肉糍饭糕,龙虾汤泡饭
漢舍中国菜馆(悦达889广场店),3531196,准五星商户,漢舍招牌果木烤鸭,现制熏鲳鱼,老上海葱油鸡
肥猫餐厅(嘉定新城万达店),112602081,准五星商户,连骨头都不剩的鸡爪,外婆红烧肉,石锅土豆肥牛
姜君·千岛湖鱼头馆(大宁店),98229663,准五星商户,姜君千岛湖鱼头,野山蒜澳排,千岛湖鱼头汤
圆苑(静安寺店),2697124,准五星商户,圆苑红烧肉,糯米红枣,金牌煮干丝
新荣记(BFC外滩金融中心店),102133464,五星商户,黄金脆带鱼,沙蒜烧豆面,脆皮乳鸽
江南里(仲盛世界商城店),112190301,准五星商户,宋嫂鱼羹,卤鸡爪,江南花开
御鲜坊(汝南街总店),114543526,五星商户,御厨红烧肉,黄鱼馄饨汤,黑椒番茄牛仔粒
和合小馆,112505859,五星商户,柚香油爆虾,桂花熏鱼,鳝丝麻散
和记小菜(控江店),98354272,准五星商户,招牌红烧肉,清炒河虾仁,招牌生煎包
和合小馆,112505859,五星商户,柚香油爆虾,桂花熏鱼,鳝丝麻散
阿纳迪酒店·源宴中餐厅,102524307,五星商户,脆皮乳鸽皇,秘制青虾,石锅烹牛仔骨
琵琶蛮·钟鼓馔玉(第一百货店),127227298,准五星商户,九制话梅酱鸭,鸡丝凉面,奶酪枇杷酥
御锦天(外滩六号店),32550361,五星商户,金恐龙蛋,清蒸长江白鱼,红烧牛肉
老丰阁品珍轩(古象店),2505034,五星商户,黑椒牛仔粒,元宝虾,会跳舞的茄子
仲亿食荟,98112691,准五星商户,椒盐排条,沙姜鸡,酒酿圆子
70后·绍东家(汉口路店),107987998,准五星商户,绍氏酥鱼,东家葱香芋头,梅干菜狮子头
金元甲鱼花胶猪肚鸡(金桥店),98749771,五星商户,双人花胶土鸡锅,红烧甲鱼,的纯鲜肉锅贴
老头儿油爆虾(爱琴海购物公园店),97243706,准五星商户,老头儿油爆河虾,干炸带鱼,桂花糖年糕
情怀小馆(定西路店),110450620,四星商户,翅汤干贝蟹籽馄饨,本帮五浇面,至尊豪华三人套餐
食荤者,131053378,五星商户,古法酥炸熏鲳鱼,葱烤鸭片鱼头,响油鳝丝夹饼
乡村大院,22873258,准五星商户,果木烤鸭,麻球,铁板基围虾
忆家一宴(文定路店),125305560,五星商户,鲍鱼煨猪手,熟醉大头虾,鹅肝
恰恰餐厅,131302807,五星商户,恰恰红烧肉,咸蛋黄排条,元宝虾
Uncle5(淮海路店),21802221,四星商户,Uncle招牌葱焖虾,Uncle风味鸡翅,酸辣土豆丝
金时代顺风大酒店(光大店),92755406,五星商户,脆皮乳鸽,香煎带鱼,本帮红烧肉
荟廷·晶萃(凯德晶萃店),113125360,五星商户,蟹粉捞饭,红酒泡沫牛仔粒,黑蒜糖醋里脊
人和馆(徐汇滨江店),77009703,准五星商户,本帮熏鱼,金牌红烧肉,老上海酱爆猪肝
