name,num,star,sug1,sug2,sug3,tuangou
蘭庭·炉端烧·酒(绿地缤纷城店),76762302,四星商户,寿喜锅,刺身拼盘,焦糖三文鱼寿司,
岸花·日本料理,97883647,五星商户,牛肉寿喜锅,三文鱼刺身,蒜香牛小排,
亚洲烧肉公司(雁荡路店),98184932,五星商户,台湾墨鱼肠,极上和牛拼盘,极上每样尝尝拼盘,
AJIYA(仙霞路店),8006068,五星商户,特等厚切牛舌,眼肉,上等牛小排,
初心屋·日本料理(宝山万达金街店),130938571,准五星商户,三文鱼刺身,牛肉寿喜锅,三文鱼,
匠庭·神户烧肉(君欣时代广场店),132021399,五星商户,澳洲牛舌厚切,牛小排,澳洲上脑,
万岛日本料理铁板烧(嘉定万达店),113904251,五星商户,刺身拼盘,鹅肝,鳌虾,
万岛日本料理铁板烧(由由店),98385597,五星商户,鳌虾,海胆,小青龙,
温野菜日本涮涮锅(世纪汇店),108326323,五星商户,月见寿喜高汤,澳洲严选 牛肩肉,刺身拼盘,
熹之味,112115869,五星商户,上品厚切牛舌,至尊巨无霸蒲鳗饭,龙虾色拉,
魔丼屋(日月光店),97889043,四星商户,魔王慢烧牛肉丼,蟹宝,鹅肝寿司,
牛小新烧肉屋(五角场店),121677178,五星商户,牛五花,特上雪花牛小排,土豆泥,
九井正本料理(陆家嘴店),69877606,五星商户,三文鱼肚,牡丹虾,海胆,
鮨一日本料理(旗舰店总店),6140602,五星商户,金枪鱼大脂,toro寿司,刺身,
舞渔日料美人胶原锅(太平洋店),97849102,五星商户,美人胶原锅（小份）,厚烤牛舌,握寿司･炙烤鹅肝,
花隐日本料理(世博源店),76848692,五星商户,石锅松露牛肉汤,蓝鳍金枪鱼刺身,相扑锅,
大馥·炭火烧肉屋(五角场店),17647597,五星商户,盐葱牛舌,厚切牛小排,究极奶油菲力,
桃山日本料理铁板烧,19315775,准五星商户,法国鹅肝,刺身大拼盘,甜虾,
